Stage   | elapsed | total score                             | per-constraint (hard/medium only)
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11582hard/0medium/0soft       matches=1235
Stage1  | t+  333s | total=-602764hard/0medium/-698056soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-537960hard/0medium/0soft      matches=421
          block-overfill-at-most-one-day                score=-38758hard/0medium/0soft       matches=194
          emp-monthly-overtime-limit                    score=-4094hard/0medium/0soft        matches=148
          emp-one-task-per-day                          score=-1436hard/0medium/0soft        matches=1235
          emp-region-stay-max-on                        score=-8hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11582hard/0medium/0soft       matches=1235
Stage1  | t+  334s | total=-601920hard/0medium/-698152soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-537080hard/0medium/0soft      matches=421
          block-overfill-at-most-one-day                score=-38758hard/0medium/0soft       matches=194
          emp-monthly-overtime-limit                    score=-4094hard/0medium/0soft        matches=148
          emp-one-task-per-day                          score=-1440hard/0medium/0soft        matches=1239
          emp-region-stay-max-on                        score=-8hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=74
          phase-order                                   score=-6777hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-11606hard/0medium/0soft       matches=1239
Stage1  | t+  334s | total=-601595hard/0medium/-698793soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-536440hard/0medium/0soft      matches=420
